member_code,first_name,last_name,party_code,represent_code,represent_type
Chris-Andrews.D.2007-06-14,Chris,Andrews,Sinn_Féin,Dublin-Bay-South,constituency
Ivana-Bacik.S.2007-07-23,Ivana,Bacik,Labour_Party,Dublin-Bay-South,constituency
Mick-Barry.D.2016-10-03,Mick,Barry,People_Before_Profit_Solidarity,Cork-North-Central,constituency
Cathal-Berry.D.2020-02-08,Cathal ,Berry,Independent,Kildare-South,constituency
Richard-Boyd-Barrett.D.2011-03-09,Richard,Boyd Barrett,People_Before_Profit_Solidarity,Dún-Laoghaire,constituency
John-Brady.D.2016-10-03,John,Brady,Sinn_Féin,Wicklow,constituency
Colm-Brophy.D.2016-10-03,Colm,Brophy,Fine_Gael,Dublin-South-West,constituency
James-Browne.D.2016-10-03,James,Browne,Fianna_Fáil,Wexford,constituency
Martin-Browne.D.2020-02-08,Martin,Browne,Sinn_Féin,Tipperary,constituency
Richard-Bruton.S.1981-10-08,Richard,Bruton,Fine_Gael,Dublin-Bay-North,constituency
Pat-Buckley.D.2016-10-03,Pat,Buckley,Sinn_Féin,Cork-East,constituency
Colm-Burke.S.2011-05-25,Colm,Burke,Fine_Gael,Cork-North-Central,constituency
Peter-Burke.D.2016-10-03,Peter,Burke,Fine_Gael,Longford-Westmeath,constituency
Mary-Butler.D.2016-10-03,Mary,Butler,Fianna_Fáil,Waterford,constituency
Thomas-Byrne.D.2007-06-14,Thomas,Byrne,Fianna_Fáil,Meath-East,constituency
Jackie-Cahill.D.2016-10-03,Jackie,Cahill,Fianna_Fáil,Tipperary,constituency
Holly-Cairns.D.2020-02-08,Holly,Cairns,Social_Democrats,Cork-South-West,constituency
Dara-Calleary.D.2007-06-14,Dara,Calleary,Fianna_Fáil,Mayo,constituency
Seán-Canney.D.2016-10-03,Seán,Canney,Independent,Galway-East,constituency
Ciaran-Cannon.S.2007-07-23,Ciarán,Cannon,Fine_Gael,Galway-East,constituency
Joe-Carey.D.2007-06-14,Joe,Carey,Fine_Gael,Clare,constituency
Jennifer-Carroll-MacNeill.D.2020-02-08,Jennifer,Carroll MacNeill,Fine_Gael,Dún-Laoghaire,constituency
Matt-Carthy.D.2020-02-08,Matt,Carthy,Sinn_Féin,Cavan-Monaghan,constituency
Jack-Chambers.D.2016-10-03,Jack,Chambers,Fianna_Fáil,Dublin-West,constituency
Sorca-Clarke.D.2020-02-08,Sorca,Clarke,Sinn_Féin,Longford-Westmeath,constituency
Joan-Collins.D.2011-03-09,Joan,Collins,Independents_4_Change,Dublin-South-Central,constituency
Michael-Collins.D.2016-10-03,Michael,Collins,Independent,Cork-South-West,constituency
Niall-Collins.D.2007-06-14,Niall,Collins,Fianna_Fáil,Limerick-County,constituency
Catherine-Connolly.D.2016-10-03,Catherine,Connolly,Independent,Galway-West,constituency
Rose-Conway-Walsh.S.2016-04-25,Rose,Conway-Walsh,Sinn_Féin,Mayo,constituency
Patrick-Costello.D.2020-02-08,Patrick,Costello,Green_Party,Dublin-South-Central,constituency
Simon-Coveney.D.1998-10-23,Simon,Coveney,Fine_Gael,Cork-South-Central,constituency
Barry-Cowen.D.2011-03-09,Barry,Cowen,Fianna_Fáil,Laois-Offaly,constituency
