vote_name,vote_date,is_bill,vote_outcome,member_code,yes,no,abstain
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,James-Browne.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Richard-Bruton.S.1981-10-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Colm-Burke.S.2011-05-25,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Mary-Butler.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Dara-Calleary.D.2007-06-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Joe-Carey.D.2007-06-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Jennifer-Carroll-MacNeill.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Jack-Chambers.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Niall-Collins.D.2007-06-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Patrick-Costello.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Michael-Creed.D.1989-06-29,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Cathal-Crowe.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Alan-Dillon.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Stephen-Donnelly.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,FrancisNoel-Duffy.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Bernard-Durkan.D.1981-06-30,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Damien-English.D.2002-06-06,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Alan-Farrell.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Frank-Feighan.S.2002-09-12,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Joe-Flaherty.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Charles-Flanagan.D.1987-03-10,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Seán-Fleming.D.1997-06-26,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Norma-Foley.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Brendan-Griffin.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Seán-Haughey.S.1987-04-25,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Martin-Heydon.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Emer-Higgins.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Neasa-Hourigan.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Heather-Humphreys.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Paul-Kehoe.D.2002-06-06,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,John-Lahart.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,James-Lawless.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Brian-Leddin.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Josepha-Madigan.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Catherine-Martin.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Micheál-Martin.D.1989-06-29,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Steven-Matthews.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Paul-McAuliffe.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Charlie-McConalogue.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Helen-McEntee.D.2013-03-27,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Michael-McGrath.D.2007-06-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Aindrias-Moynihan.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Jennifer-Murnane-O'Connor.S.2016-04-25,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Malcolm-Noonan.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Darragh-O'Brien.D.2007-06-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Joe-O'Brien.D.2019-11-29,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Jim-O'Callaghan.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,James-O'Connor.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Patrick-O'Donovan.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Fergus-O'Dowd.S.1997-09-17,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Roderic-O'Gorman.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Christopher-O'Sullivan.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Pádraig-O'Sullivan.D.2019-11-29,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Marc-Ó-Cathasaigh.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Éamon-Ó-Cuív.S.1989-10-01,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,John-Paul-Phelan.S.2002-09-12,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Neale-Richmond.S.2016-04-25,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Eamon-Ryan.D.2002-06-06,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Brendan-Smith.D.1992-12-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Niamh-Smyth.D.2016-10-03,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Ossian-Smyth.D.2020-02-08,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,David-Stanton.D.1997-06-26,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Robert-Troy.D.2011-03-09,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Leo-Varadkar.D.2007-06-14,1,0,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Chris-Andrews.D.2007-06-14,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Mick-Barry.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Richard-Boyd-Barrett.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Martin-Browne.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Pat-Buckley.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Holly-Cairns.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Matt-Carthy.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Sorca-Clarke.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Joan-Collins.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Michael-Collins.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Catherine-Connolly.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Rose-Conway-Walsh.S.2016-04-25,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Réada-Cronin.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Seán-Crowe.D.2002-06-06,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Pa-Daly.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Pearse-Doherty.S.2007-07-23,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Paul-Donnelly.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Dessie-Ellis.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Mairéad-Farrell.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Peter-Fitzpatrick.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Thomas-Gould.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Johnny-Guirke.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Marian-Harkin.D.2002-06-06,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Danny-Healy-Rae.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Michael-Healy-Rae.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Alan-Kelly.S.2007-07-23,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Martin-Kenny.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Claire-Kerrane.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Pádraig-MacLochlainn.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Mary-Lou-McDonald.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Mattie-McGrath.D.2007-06-14,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Denise-Mitchell.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Imelda-Munster.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Catherine-Murphy.D.2005-03-11,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Paul-Murphy.D.2014-10-10,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Verona-Murphy.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Johnny-Mythen.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Gerald-Nash.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Denis-Naughten.S.1997-01-28,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Cian-O'Callaghan.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Louise-O'Reilly.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Darren-O'Rourke.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Eoin-Ó-Broin.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Donnchadh-Ó-Laoghaire.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Ruairí-Ó-Murchú.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Aodhán-Ó-Ríordáin.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Aengus-Ó-Snodaigh.D.2002-06-06,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Thomas-Pringle.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Maurice-Quinlivan.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Matt-Shanahan.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Seán-Sherlock.D.2007-06-14,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Róisín-Shortall.D.1992-12-14,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Bríd-Smith.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Brian-Stanley.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Pauline-Tully.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Mark-Ward.D.2019-11-29,0,1,0
An tOrd Gnó - Order of Business,2022-04-05,False,Carried,Jennifer-Whitmore.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Chris-Andrews.D.2007-06-14,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Ivana-Bacik.S.2007-07-23,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Richard-Boyd-Barrett.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Martin-Browne.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Pat-Buckley.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Matt-Carthy.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Joan-Collins.D.2011-03-09,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Michael-Collins.D.2016-10-03,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Rose-Conway-Walsh.S.2016-04-25,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,Réada-Cronin.D.2020-02-08,0,1,0
An tOrd Gnó - Order of Business,2022-03-29,False,Carried,David-Cullinane.S.2011-05-25,0,1,0
